"Enddatetime","TimerName","UserName","Event_ID"
"26/10/2016 22:16:35","USR: DOCV: LOAD NOTE PROFILE","BMOORE005",241
"26/10/2016 22:16:36","USR:PWR-CREATE VIEW","BMOORE005",339
"26/10/2016 22:16:51","CAP:MPG NEW ORDER ENTRY O1 CLICK ON ORDER FROM SEARCH","BMOORE005",195
"26/10/2016 22:17:08","USR:POWERPLANS.SIGN PLANS","BMOORE005",335
"26/10/2016 22:17:21","USR: PROCESS DISCERN ALERTS","BMOORE005",246
"26/10/2016 22:17:21","CAP:ORM.SIGNENCOUNTERDIAGNOSES","BMOORE005",225
"26/10/2016 22:17:32","CKPT: DOC STOP PN TAB","LLOCKE",720
"26/10/2016 22:17:33","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","LLOCKE",770
"26/10/2016 22:17:33","USR:MPG.DOCUMENTATION_ROS.O1 - LOAD COMPONENT","LLOCKE",771
"26/10/2016 22:17:39","USR:MPG.MP_UNIFIED_DRIVER LOAD ENTIRE PAGE","BMOORE005",279
"26/10/2016 22:17:45","USR:MPG.HOME_MEDS.O2 - LOAD COMPONENT","LLOCKE",773
"26/10/2016 22:18:05","USR:MPG.ACTIONS_SIT_AWARENESS.O1 - LOAD COMPONENT","LLOCKE",755
"26/10/2016 22:18:26","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","VPONNEQUIN",1345
"26/10/2016 22:20:28","USR:MPG.MP_UNIFIED_DRIVER LOAD ENTIRE PAGE","LLOCKE",781
"26/10/2016 22:20:42","USR:PWR-FRAMEWORK CHART OPEN POST-CREATE","LLOCKE",845
"26/10/2016 22:20:44","USR:MPG.DIAGNOSTICS.O2 - LOAD COMPONENT","LLOCKE",768
"26/10/2016 22:22:12","USR:MPG.MICRO.O2 - LOAD COMPONENT","LLOCKE",780
"26/10/2016 22:23:41","USR:MPG.VITALSIGNS.WF - LOAD COMPONENT","BMOORE005",290
"26/10/2016 22:24:01","USR: DOCV: LOAD DOCUMENT VIEWER","BMOORE005",240
"26/10/2016 22:24:14","USR: DOCV: PREVIEW NOTE","BMOORE005",242
"26/10/2016 22:25:39","USR:MPG.NEW_ORDER_ENTRY.O1 - LOAD COMPONENT","LLOCKE",782
"26/10/2016 22:25:56","CAP:MPG LAUNCH MPAGE","LLOCKE",691
"26/10/2016 22:26:56","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","BMOORE005",272
"26/10/2016 22:27:53","USR:PWR-SHOW VIEW","LLOCKE",849
"26/10/2016 22:29:09","USR:ORM.SIGNORDERS-NONMEDDUPCHECK","LLOCKE",828
"26/10/2016 22:29:09","ENG:ORM.SIGNORDERS-SAVETODATABASE","LLOCKE",724
"26/10/2016 22:29:15","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","LLOCKE",786
"26/10/2016 22:29:15","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","LLOCKE",786
"26/10/2016 22:29:26","USR:MPG.CONSOLIDATED_HISTORY - LOAD COMPONENT","LLOCKE",766
"26/10/2016 22:29:37","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","LLOCKE",770
"26/10/2016 22:33:37","CKPT:WINDOWSSESSIONMONITOR-ALL","VPONNEQUIN",1294
"26/10/2016 22:35:15","CAP:MPG MPAGE VIEWPOINT CLICK ON SCRATCHPAD","LLOCKE",692
"26/10/2016 22:35:20","USR:ORM.SIGNORDERS-INVOKEDISCERN","LLOCKE",826
"26/10/2016 22:35:20","USR: PROCESS DISCERN ALERTS","LLOCKE",743
"26/10/2016 22:35:35","CAP:MPG.AMB_ORG_PACKAGE-AOV1.5","LLOCKE",704
"26/10/2016 22:36:15","CKPT:WINDOWSSESSIONMONITOR-ALL","LLOCKE",722
"26/10/2016 22:37:43","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","BMOORE005",284
"26/10/2016 22:37:43","USR:MPG.CONSOL_PROB.O1 - LOAD COMPONENT","BMOORE005",266
"26/10/2016 22:39:04","USR:PWR-CLOSECHART","BMOORE005",338
"26/10/2016 22:39:35","USR:PWR-OPEN CHART","LLOCKE",847
"26/10/2016 22:39:36","CAP:MPG VITALS O2 VIEW TYPE","LLOCKE",703
"26/10/2016 22:39:41","USR:PWR-SHOW VIEW","LLOCKE",849
"26/10/2016 22:39:41","USR: DOCV: LOAD NOTE PROFILE","LLOCKE",735
"26/10/2016 22:39:54","USR:PWR-SWITCHFRAME","BMOORE005",344
"26/10/2016 22:39:54","CAP:MPG LAUNCH MPAGE","BMOORE005",192
"26/10/2016 22:42:43","CAP:MPG DETAILED REVIEW SUBSECTION - CLICK NAVIGATOR LINK","VPONNEQUIN",1266
"26/10/2016 22:42:43","USR:MPG.DOCUMENTATION_ROS.O1 - LOAD COMPONENT","VPONNEQUIN",1334
"26/10/2016 22:44:30","USR:PWR-CREATE VIEW","LLOCKE",844
"26/10/2016 22:44:32","USR:MPG.VITALSIGNS.WF - LOAD COMPONENT","LLOCKE",793
"26/10/2016 22:44:46","USR:MPG.CONSOL_PROB.O1 - LOAD COMPONENT","VPONNEQUIN",1329
"26/10/2016 22:45:07","USR:PWR - REFRESH FLOWSHEET DATA","LLOCKE",853
"26/10/2016 22:46:19","CAP: DOCV: SMART NAV","VPONNEQUIN",1262
"26/10/2016 22:47:08","CAP: DYNDOC HIDE EMPTY SECTIONS","VPONNEQUIN",1264
"26/10/2016 22:47:18","USR:MPG.AMB_ORG_LOAD - REFRESH(MY_DAY)","VPONNEQUIN",1326
"26/10/2016 22:47:50","USR: START CHART","LLOCKE",746
"26/10/2016 22:48:45","USR: CLINICAL NOTES: ENDORSE RESULTS","LLOCKE",728
"26/10/2016 22:51:27","USR:PWR.PVINBOX.ITEM ACTION.PRIMAY ACTION","LLOCKE",860
"26/10/2016 22:54:01","USR: LOADING ORDERS TAB","VPONNEQUIN",1311
"26/10/2016 22:54:12","USR:ORM.PLACENEWORDER-LOADORDERFORMAT","VPONNEQUIN",1374
"26/10/2016 22:54:36","USR:ORM.BUILDSDL","VPONNEQUIN",1355
"26/10/2016 22:55:59","CAP:ORM.INVOKECANCELDCFROMINTERACTIONCHECKING","VPONNEQUIN",1284
"26/10/2016 22:59:09","USR:PWR-REFRESH VIEW","VPONNEQUIN",1396
"26/10/2016 22:59:13","USR:ERM PMSEARCH WINDOW LOAD","LLOCKE",750
"26/10/2016 22:59:52","USR:MPG.CHIEF_COMPLAINT.O1 - LOAD COMPONENT","LLOCKE",763
"26/10/2016 23:00:25","USR:MPG.NEW_ORDER_ENTRY.O1 - LOAD COMPONENT","LLOCKE",782
"26/10/2016 23:00:52","USR:REGIMENS.DISPLAY REGIMEN","LLOCKE",870
"26/10/2016 23:00:57","USR:ORM.BUILDSDL","LLOCKE",798
"26/10/2016 23:01:09","USR:ORM.BUILDSDL","LLOCKE",798
